cluster,size,top_terms,dominant_subjects,example_titles
29,1530,"human, virtual, user, interaction, computer, systems, recognition, based, design, visual","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Computer Science, Information Systems, Computer Science, Cybernetics",The many faces of publish/subscribe | A Tutorial on Human Activity Recognition Using Body-Worn Inertial Sensors | A Survey of Intrusion Detection Techniques for Cyber-Physical Systems
20,1182,"logic, language, semantics, verification, systems, languages, automata, checking, calculus, theory","Computer Science, Computer Science, Theory & Methods, Computer Science, Software Engineering, Science & Technology - Other Topics, Logic",A Constraint Approach to Pivot-Based Bilingual Dictionary Induction | Formal Specification and Verification of Ubiquitous and Pervasive Systems | MAPE-K Formal Templates to Rigorously Design Behaviors for Self-Adaptive Systems
8,1136,"data, mining, information, query, retrieval, based, data mining, search, queries, text","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods",Searching in metric spaces | Interestingness measures for data mining: A survey | A Survey of Top-k Query Processing Techniques in Relational Database Systems
11,1029,"optimization, algorithm, search, algorithms, genetic, problems, problem, evolutionary, swarm, genetic algorithm","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods, Computer Science, Interdisciplinary Applications, Engineering",Exploration and Exploitation in Evolutionary Algorithms: A Survey | Many-Objective Evolutionary Algorithms: A Survey | Scan-Chain Design and Optimization for Three-Dimensional Integrated Circuits
16,988,"software, development, engineering, code, testing, software development, design, software engineering, model, systems","Computer Science, Computer Science, Software Engineering, Computer Science, Information Systems, Computer Science, Theory & Methods, Engineering",Advances in dataflow programming languages | A Survey of Online Failure Prediction Methods | A Survey of Combinatorial Testing
3,981,"network, networks, traffic, optical, service, performance, control, internet, routing, access","Computer Science, Telecommunications, Computer Science, Information Systems, Engineering, Engineering, Electrical & Electronic",Fluid-based analysis of a network of AQM routers supporting TCP flows with an application to RED | The Eifel algorithm: Making TCP robust against spurious retransmissions | Practical network support for IP traceback
14,978,"performance, parallel, systems, memory, scheduling, time, computing, applications, high, distributed","Computer Science, Computer Science, Theory & Methods, Computer Science, Hardware & Architecture, Computer Science, Software Engineering, Computer Science, Information Systems",A survey of rollback-recovery protocols in message-passing systems | Algorithms and data structures for flash memories | A Survey of Hard Real-Time Scheduling for Multiprocessor Systems
27,945,"image, images, method, segmentation, proposed, based, algorithm, detection, visual, transform","Computer Science, Computer Science, Software Engineering, Engineering, Computer Science, Artificial Intelligence, Engineering, Electrical & Electronic","Socializing the Semantic Gap: A Comparative Survey on Image Tag Assignment, Refinement, and Retrieval | Dynamic Shading Enhancement for Reflectance Transformation Imaging | Evaluating HDR Rendering Algorithms"
18,879,"classification, learning, machine, feature, vector, support vector, data, features, support, selection","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Information Systems, Computer Science, Interdisciplinary Applications, Computer Science, Software Engineering",A Survey on Concept Drift Adaptation | A Survey of Predictive Modeling on Im balanced Domains | A Survey on Ensemble Learning for Data Stream Classification
2,876,"models, model, data, analysis, estimation, using, methods, markov, bayesian, method","Computer Science, Computer Science, Interdisciplinary Applications, Computer Science, Artificial Intelligence, Mathematics, Computer Science, Theory & Methods","Conditional Random Fields for Korean Morpheme Segmentation and POS Tagging | Adaptive Epidemic Dynamics in Networks: Thresholds and Control | DBSCAN Revisited, Revisited: Why and How You Should (Still) Use DBSCAN"
